product,date,market,description,source_url
Oeufs,30-01-2026,France : fruits et légumes bio - grossistes,France : fruits et légumes bio - grossistes                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?OEUFS
Oeufs,30-01-2026,"France : produits laitiers, œufs (collectivités)","France : produits laitiers, œufs (collectivités)                     marché du 16/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?OEUFS
Oeufs,30-01-2026,MIN de Nantes : fruits et légumes bio,MIN de Nantes : fruits et légumes bio                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?OEUFS
Oeufs,30-01-2026,MIN de Rungis : fruits et légumes bio,MIN de Rungis : fruits et légumes bio                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?OEUFS
Oeufs,30-01-2026,MIN de Rungis : œuf,MIN de Rungis : œuf                     marché du 30/01/26 (cours Grossistes) unité : € HT les 100 pièces*,https://rnm.franceagrimer.fr/prix?OEUFS
Oeufs,30-01-2026,Lait Oeuf DETAIL GMS,Lait Oeuf DETAIL GMS                     marché du 15/01/26 (cours Détail) unité : € TTC le kg*,https://rnm.franceagrimer.fr/prix?OEUFS
Oeufs,30-01-2026,Lait Oeuf France DETAIL MAG. SPECIALISES BIO,Lait Oeuf France DETAIL MAG. SPECIALISES BIO                     marché du 22/01/26 (cours Détail) unité : € TTC *,https://rnm.franceagrimer.fr/prix?OEUFS
Brie de meaux,29-01-2026,"MIN de Rungis : beurre, fromage (mensuel)","MIN de Rungis : beurre, fromage (mensuel)                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?BRIE-DE-MEAUX
Cantal,29-01-2026,"MIN de Rungis : beurre, fromage (mensuel)","MIN de Rungis : beurre, fromage (mensuel)                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?CANTAL
Carré,29-01-2026,"MIN de Rungis : beurre, fromage (mensuel)","MIN de Rungis : beurre, fromage (mensuel)                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?CARRE
Chèvre,29-01-2026,"France : produits laitiers, œufs (collectivités)","France : produits laitiers, œufs (collectivités)                     marché du 16/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?CHEVRE
Chèvre,29-01-2026,"MIN de Rungis : beurre, fromage (mensuel)","MIN de Rungis : beurre, fromage (mensuel)                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?CHEVRE
Fromages,29-01-2026,"France : produits laitiers, œufs (collectivités)","France : produits laitiers, œufs (collectivités)                     marché du 16/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?FROMAGES
Fromages,29-01-2026,"MIN de Rungis : beurre, fromage (mensuel)","MIN de Rungis : beurre, fromage (mensuel)                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?FROMAGES
Édam,29-01-2026,"France : produits laitiers, œufs (collectivités)","France : produits laitiers, œufs (collectivités)                     marché du 16/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?EDAM
Édam,29-01-2026,"MIN de Rungis : beurre, fromage (mensuel)","MIN de Rungis : beurre, fromage (mensuel)                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?EDAM
Bonbel,14-11-2025,"France : produits laitiers, œufs (collectivités)","France : produits laitiers, œufs (collectivités)                     marché du 14/11/25 (cours Grossistes) unité : € HT le kg*",https://rnm.franceagrimer.fr/prix?BONBEL
