product,date,market,description,source_url
Prune,26-11-2025,MIN de Rungis : fruits et légumes,MIN de Rungis : fruits et légumes                     marché du 26/11/25 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?PRUNE
Figue sèche,30-01-2026,MIN de Nantes : fruits et légumes,MIN de Nantes : fruits et légumes                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FIGUE-SECHE
Citron,30-01-2026,France : fruits et légumes bio - import,France : fruits et légumes bio - import                     marché du 30/01/26 (cours Import) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,Marché de St-Charles : fruits et légumes - import,Marché de St-Charles : fruits et légumes - import                     marché du 30/01/26 (cours Import) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,France : fruits et légumes bio - grossistes,France : fruits et légumes bio - grossistes                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,Marché de gros Lille-Euralimentaire : fruits et légumes,Marché de gros Lille-Euralimentaire : fruits et légumes                     marché du 28/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,Marché de Lyon-Corbas : fruits,Marché de Lyon-Corbas : fruits                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN d'Avignon-Cavaillon : fruits et légumes,MIN d'Avignon-Cavaillon : fruits et légumes                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN de Bordeaux-Brienne : fruits et légumes,MIN de Bordeaux-Brienne : fruits et légumes                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN de Marseille : fruits et légumes,MIN de Marseille : fruits et légumes                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN de Nantes : fruits et légumes,MIN de Nantes : fruits et légumes                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN de Nantes : fruits et légumes bio,MIN de Nantes : fruits et légumes bio                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN de Nice : fruits et légumes,MIN de Nice : fruits et légumes                     marché du 28/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN de Rungis : fruits et légumes,MIN de Rungis : fruits et légumes                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN de Rungis : fruits et légumes bio,MIN de Rungis : fruits et légumes bio                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN de Strasbourg : fruits et légumes,MIN de Strasbourg : fruits et légumes                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,MIN de Toulouse : fruits et légumes,MIN de Toulouse : fruits et légumes                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CITRON
Citron,30-01-2026,Fruits France DETAIL MAG. SPECIALISES BIO,Fruits France DETAIL MAG. SPECIALISES BIO                     marché du 22/01/26 (cours Détail) unité : € TTC *,https://rnm.franceagrimer.fr/prix?CITRON
Fruits à pépins,30-01-2026,Marché de Lyon-Corbas carreau : fruits et légumes,Marché de Lyon-Corbas carreau : fruits et légumes                     marché du 29/01/26 (cours Marché de producteurs) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,Marché de Perpignan carreau : fruits et légumes,Marché de Perpignan carreau : fruits et légumes                     marché (non RNM) du 29/01/26 (cours Marché de producteurs) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,Bassin Auvergne Rhône-Alpes : pomme et poire IGP,Bassin Auvergne Rhône-Alpes : pomme et poire IGP                     marché du 29/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,Bassin Centre-Ouest : fruits et légumes bio,Bassin Centre-Ouest : fruits et légumes bio                     marché du 23/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,Bassin Grand Est : fruits et légumes,Bassin Grand Est : fruits et légumes                     marché du 30/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,Bassin Roussillon : fruits et légumes bio,Bassin Roussillon : fruits et légumes bio                     marché du 30/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,Bassin Sud-Est : fruits et légumes bio,Bassin Sud-Est : fruits et légumes bio                     marché du 29/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,Bassin Sud-Ouest : pomme bio,Bassin Sud-Ouest : pomme bio                     marché du 30/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,France : fruits et légumes bio - expédition,France : fruits et légumes bio - expédition                     marché du 29/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,France : poire,France : poire                     marché du 30/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,France : pomme,France : pomme                     marché du 30/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,France : pomme - export,France : pomme - export                     marché du 30/01/26 (cours Expédition) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,France : pomme - industrie,France : pomme - industrie                     marché du 30/01/26 (cours Expédition) unité : € HT la tonne*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,France : fruits et légumes bio - import,France : fruits et légumes bio - import                     marché du 30/01/26 (cours Import) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,France : fruits et légumes bio - grossistes,France : fruits et légumes bio - grossistes                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,Marché de gros Lille-Euralimentaire : fruits et légumes,Marché de gros Lille-Euralimentaire : fruits et légumes                     marché du 28/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,Marché de Lyon-Corbas : fruits,Marché de Lyon-Corbas : fruits                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,MIN d'Avignon-Cavaillon : fruits et légumes,MIN d'Avignon-Cavaillon : fruits et légumes                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,MIN de Bordeaux-Brienne : fruits et légumes,MIN de Bordeaux-Brienne : fruits et légumes                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,MIN de Marseille : fruits et légumes,MIN de Marseille : fruits et légumes                     marché du 29/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
Fruits à pépins,30-01-2026,MIN de Nantes : fruits et légumes,MIN de Nantes : fruits et légumes                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?FRUITS-A-PEPINS
