product,date,market,description,source_url,price,quantity,unit,origin,quality,product_clean,market_clean,unit_price,month,year,season,product_category,price_category
Orange,2026-02-01,MIN de Bordeaux,Orange Cat. II - Portugal,https://rnm.franceagrimer.fr/prix?ORANGE,13.71,2,kg,Portugal,Cat. II,Orange,MIN de Bordeaux,13.71,2,2026,Hiver,Fruits,10-20€
Banane,2026-01-30,MIN de Nice,Banane Bio - Belgique,https://rnm.franceagrimer.fr/prix?BANANE,16.95,10,pièce,Belgique,Bio,Banane,MIN de Nice,16.95,1,2026,Hiver,Fruits,10-20€
Raisin,2026-01-11,MIN d'Avignon,Raisin Cat. I - France,https://rnm.franceagrimer.fr/prix?RAISIN,13.03,8,kg,France,Cat. I,Raisin,MIN d'Avignon,13.03,1,2026,Hiver,Fruits,10-20€
Fromage de chèvre,2025-11-26,MIN de Rungis,Fromage de chèvre Bio - Italie,https://rnm.franceagrimer.fr/prix?FROMAGE-DE-CHÈVRE,12.69,6,pièce,Italie,Bio,Fromage De Chèvre,MIN de Rungis,12.69,11,2025,Automne,Produits laitiers,10-20€
Crème,2025-11-24,MIN de Marseille,Crème Cat. II - Espagne,https://rnm.franceagrimer.fr/prix?CRÈME,13.4,3,kg,Espagne,Cat. II,Crème,MIN de Marseille,13.4,11,2025,Automne,Produits laitiers,10-20€
Lait,2026-01-13,MIN de Rungis,Lait Cat. II - Pays-Bas,https://rnm.franceagrimer.fr/prix?LAIT,7.55,8,litre,Pays-Bas,Cat. II,Lait,MIN de Rungis,7.55,1,2026,Hiver,Produits laitiers,5-10€
Kiwi,2026-01-09,MIN de Perpignan,Kiwi Bio - Maroc,https://rnm.franceagrimer.fr/prix?KIWI,4.42,3,kg,Maroc,Bio,Kiwi,MIN de Perpignan,4.42,1,2026,Hiver,Fruits,2-5€
Fromage,2025-11-26,MIN de Nice,Fromage Cat. II - Maroc,https://rnm.franceagrimer.fr/prix?FROMAGE,11.43,1,litre,Maroc,Cat. II,Fromage,MIN de Nice,11.43,11,2025,Automne,Produits laitiers,10-20€
Veau,2025-12-03,MIN de Marseille,Veau Cat. I - Belgique,https://rnm.franceagrimer.fr/prix?VEAU,25.82,8,pièce,Belgique,Cat. I,Veau,MIN de Marseille,25.82,12,2025,Hiver,Viande,>20€
Courgette,2026-01-26,MIN de Nantes,Courgette Extra - Portugal,https://rnm.franceagrimer.fr/prix?COURGETTE,3.76,6,pièce,Portugal,Extra,Courgette,MIN de Nantes,3.76,1,2026,Hiver,Légumes,2-5€
