product,date,market,description,source_url
Mini chapon,24-12-2020,MIN de Rungis : volaille,MIN de Rungis : volaille                     marché du 24/12/20 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?MINI-CHAPON
Porcins,30-01-2026,Bassin Bretagne : porcelets,Bassin Bretagne : porcelets                     marché du 23/01/26 (cours Production) unité : € HT le kg* qté:pièce(s)*,https://rnm.franceagrimer.fr/prix?PORCINS
Porcins,30-01-2026,Bassin Sud-Est : porcelets,Bassin Sud-Est : porcelets                     marché du 27/01/26 (cours Production) unité : € HT le kg* qté:pièce(s)*,https://rnm.franceagrimer.fr/prix?PORCINS
Porcins,30-01-2026,Cadran de Plérin : porc charcutier,Cadran de Plérin : porc charcutier                     marché du 29/01/26 (cours Production) unité : € HT les 100 kg* qté:pièce(s)*,https://rnm.franceagrimer.fr/prix?PORCINS
Porcins,30-01-2026,France : porc charcutier entrée abattoir,France : porc charcutier entrée abattoir                     marché du 23/01/26 (cours Production) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?PORCINS
Porcins,30-01-2026,MIN de Rungis : porc découpes,MIN de Rungis : porc découpes                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?PORCINS
Porcins,30-01-2026,MIN de Rungis : porc découpes (hebdo),MIN de Rungis : porc découpes (hebdo)                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?PORCINS
Porcins,30-01-2026,MIN de Rungis : produits tripiers,MIN de Rungis : produits tripiers                     marché du 23/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?PORCINS
Porcins,30-01-2026,Viande France DETAIL GMS,Viande France DETAIL GMS                     marché du 15/01/26 (cours Détail) unité : € TTC le kg*,https://rnm.franceagrimer.fr/prix?PORCINS
Lapin,30-01-2026,France : lapin vif,France : lapin vif                     marché du 23/01/26 (cours Production) unité : € HT le kg* LAPIN : cotation du lapin vif en €/kg entrée abattoir.,https://rnm.franceagrimer.fr/prix?LAPIN
Lapin,30-01-2026,MIN de Rungis : volaille,MIN de Rungis : volaille                     marché du 30/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?LAPIN
Lapin,30-01-2026,Viande France DETAIL GMS,Viande France DETAIL GMS                     marché du 15/01/26 (cours Détail) unité : € TTC le kg*,https://rnm.franceagrimer.fr/prix?LAPIN
Biche,28-12-2018,MIN de Rungis : gibier,MIN de Rungis : gibier                     marché du 28/12/18 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?BICHE
Jeune bovin,12-01-2024,MIN de Rungis : produits tripiers,MIN de Rungis : produits tripiers                     marché du 12/01/24 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?JEUNE-BOVIN
Porcelet,27-01-2026,Bassin Bretagne : porcelets,"Bassin Bretagne : porcelets                     marché du 23/01/26 (cours Production) unité : € HT le kg* qté:pièce(s)*PORCELET : Semaine N° 04 du lundi 19 janvier 2026 au vendredi 23 janvier 2026.Prix net, départ ferme, à jeun. Marché d'excédents de naisseurs-engraisseurs.TENDANCE : L'offre reste limitée face à une demande encore hésitante. Le cours se réajuste légèrement à la baisse pour les porcelets de 8kg et est stable pour ceux de 25kg.",https://rnm.franceagrimer.fr/prix?PORCELET
Porcelet,27-01-2026,Bassin Sud-Est : porcelets,"Bassin Sud-Est : porcelets                     marché du 27/01/26 (cours Production) unité : € HT le kg* qté:pièce(s)*PORCELET : COTATION SUD-EST : BOURGOGNE - FRANCHE-COMTE -AUVERGNE-RHONE-ALPES - PROVENCE-ALPES-COTE-D'AZURPrix net départ ferme à jeun.Semaine n°4 : du lundi 19 janvier 2026 au samedi 24 janvier 2026Porcelets de 25 kg : le cours moyen des porcelets de 25 kg de la semaine 4 s'effrite de 0,5 % par rapport à celui de la semaine précédente avec des volumes en baisse de 15 % sur une semaine.Porcelets 7 kg : la cotation moyenne des porcelets de 7 kg de la semaine 4 cède 1 % par rapport à celle de la semaine précédente avec des volumes stables sur une semaine.",https://rnm.franceagrimer.fr/prix?PORCELET
Chapon,02-01-2026,MIN de Rungis : volaille,MIN de Rungis : volaille                     marché du 02/01/26 (cours Grossistes) unité : € HT le kg*,https://rnm.franceagrimer.fr/prix?CHAPON
